text,outcome
"follow and extend their own interests with enthusiasm energy and concentration",4
"initiate and contribute to play experiences emerging from their own ideas",4
"participate in a variety of rich and meaningful inquiry-based experiences",4
"persevere and experience the satisfaction of achievement",4
"persist even when they find a task difficult",4
"apply a wide variety of thinking strategies to engage with situations and solve problems and adapt these strategies to new situations",4
"create and use representation to organise record and communicate mathematical ideas and concepts",4
"make predictions and generalisations about their daily activities aspects of the natural world and environments using patterns they generate or identify and communicate these using mathematical language and symbols",4
"explore their environment",4
"manipulate objects and experiment with cause and effect trial and error and motion",4
"contribute constructively to mathematical discussions and arguments",4
"use reflective thinking to consider why things happen and what can be learnt from these experiences",4
"engage with and construct learning",4
"develop an ability to mirror repeat and practice the actions of others either immediately or later",4
"make connections between experiences concepts and processes",4
"use the processes of play reflection and investigation to solve problems",4
"apply generalisations from one situation to another",4
"try out strategies that were effective to solve problems in one situation in a new context",4
"transfer knowledge from one setting to another",4
"engage in learning relationships",4
"use their senses to explore natural and built environments",4
"experience the benefits and pleasures of shared learning exploration",4
"explore the purpose and function of a range of tools media sounds and graphics",4
"manipulate resources to investigate take apart assemble invent and construct",4
"experiment with different technologies",4
"use information and communication technologies ICT to investigate and problem solve",4
"explore ideas and theories using imagination creativity and play",4
"use feedback from themselves and others to revise and build on an idea",4
"engage in enjoyable interactions using verbal and non verbal language",5
"convey and construct messages with purpose and confidence building on home family and community literacies",5
"respond verbally and non-verbally to what they see hear touch feel and taste",5
"use language and representations from play music and art to share and project meaning",5
"contribute their ideas and experiences in play small and large group discussions",5
"attend and give cultural cues that they are listening to and understanding what is said to them",5
"are independent communicators who initiate Standard Australian English and home language conversations and demonstrate the ability to meet the listeners needs",5
"interact with others to explore ideas and concepts clarify and challenge thinking negotiate and share new understandings",5
"convey and construct messages with purpose and confidence building on literacies of home family and the broader community",5
"exchange ideas feelings and understandings using language and representations in play",5
"demonstrate an increasing understanding of measurement and number using vocabulary to describe size length volume capacity and names of numbers",5
"express ideas and feelings and understand and respect the perspectives of others",5
"use language to communicate thinking about quantities to describe attributes of objects and collections and to explain mathematical ideas",5
"show increasing knowledge understanding and skill in conveying meaning in at least one language",5
"listen and respond to sounds and patterns in speech stories and rhymes in context",5
"view and listen to printed visual and multimedia texts and respond with relevant gestures actions comments and or questions",5
"sing and chant rhymes jingles and songs",5
"take on roles of literacy and numeracy users in their play",5
"begin to understand key literacy and numeracy concepts and processes such as the sounds of language letter sound relationships concepts of print and the ways that texts are structured",5
"explore texts from a range of different perspectives and begin to analyse the meanings",5
"actively use engage with and share the enjoyment of language and texts in a range of ways",5
"recognise and engage with written and oral culturally constructed texts",5
"use language and engage in play to imagine and create roles scripts and ideas",5
"share the stories and symbols of their own culture and re enact well known stories",5
"use the creative arts such as drawing painting sculpture drama dance movement music and storytelling to express ideas and make meaning",5
"experiment with ways of expressing ideas and meaning using a range of media",5
"begin to use images and approximations of letters and words to convey meaning",5
"use symbols in play to represent and make meaning",5
"begin to make connections between and see patterns in their feelings ideas words and actions and those of others",5
"notice and predict the patterns of regular routines and the passing of time",5
"develop an understanding that symbols are a powerful means of communication and that ideas thoughts and concepts can be represented through them",5
"begin to be aware of the relationships between oral written and visual representations",5
"begin to recognise patterns and relationships and the connections between them",5
"begin to sort categorise order and compare collections and events and attributes of objects and materials in their social and natural worlds",5
"listen and respond to sounds and patterns in speech stories and rhyme",5
"draw on memory of a sequence to complete a task",5
"draw on their experiences in constructing meaning using symbols",5
"identify the uses of technologies in everyday life and use real or imaginary technologies as props in their play",5
"use information and communication technologies to access images and information explore diverse perspectives and make sense of their world",5
"use information and communication technologies as tools for designing drawing editing reflecting and composing",5
"engage with technology for fun and to make meaning",5
